SN,group,description,class_id,OBIS_Code,Attribute_index,Data_Type,Scaler,Unit
1, Product Information,Logical Device Name,1,00002A0000FF,2,visible-string,,
2, Product Information,Meter Serial number,1,0000600100FF,2,visible-string,,
3, Product Information,Meter Equipment Identifier,1,0000600101FF,2,visible-string,,
4, Product Information,Hardware version,1,0000600104FF,2,visible-string,,
5, Product Information,Meter Certified Type,1,0000600107FF,2,visible-string,,
6, Product Information,Firmware version,1,0000000201FF,2,visible-string,,
7, Product Information,Firmware checksum,1,0000000208FF,2,visible-string,,
8, Product Information,Manufacturer Certified Flag,1,0000600106FF,2,visible-string,,
9, Product Information,Communication Modem ID,1,0000603229FF,2,long-unsigned,,
10, Product Information,Related voltage,3,0100000600FF,2,double-long-unsigned,0.01,V
11, Product Information,Related Normal Current,3,0100000601FF,2,double-long-unsigned,0.01,A
12, Product Information,Related Maximum Current,3,0100000603FF,2,double-long-unsigned,0.01,A
13, Product Information,Related Frequency,3,0100000602FF,2,double-long-unsigned,0.01,Hz
14, Product Information,Constant of Active Energy(LED),1,0100000300FF,2,double-long-unsigned,,
15, Product Information,Constant of Reactive Energy(LED),1,0100000301FF,2,double-long-unsigned,,
16,Clock,Clock,8,0000010000FF,2,octet-string,,
17,Clock,Time Zone,8,0000010000FF,3,long,,
18,Energy,Daily consumption kWh,3,0100011E00FF,2,double-long-unsigned,0.01,kWh
19,Energy,Monthly consumption kWh,3,0100011D00FF,2,double-long-unsigned,0.01,kWh
20,Energy,Total absolute active kWh,3,01000F0800FF,2,double-long-unsigned,0.01,kWh
21,Energy,T1 absolute active kWh,3,01000F0801FF,2,double-long-unsigned,0.01,kWh
22,Energy,T2 absolute active kWh,3,01000F0802FF,2,double-long-unsigned,0.01,kWh
23,Energy,T3 absolute active kWh,3,01000F0803FF,2,double-long-unsigned,0.01,kWh
24,Energy,T4 absolute active kWh,3,01000F0804FF,2,double-long-unsigned,0.01,kWh
25,Energy,Total algebraic active kWh,3,0100100800FF,2,double-long-unsigned,0.01,kWh
26,Energy,T1 algebraic active kWh,3,0100100801FF,2,double-long-unsigned,0.01,kWh
27,Energy,T2 algebraic active kWh,3,0100100801FF,2,double-long-unsigned,0.01,kWh
28,Energy,T3 algebraic active kWh,3,0100100801FF,2,double-long-unsigned,0.01,kWh
29,Energy,T4 algebraic active kWh,3,0100100801FF,2,double-long-unsigned,0.01,kWh
30,Energy,Total import active kWh,3,0100010800FF,2,double-long-unsigned,0.01,kWh
31,Energy,T1 import active kWh,3,0100010801FF,2,double-long-unsigned,0.01,kWh
32,Energy,T2 import active kWh,3,0100010802FF,2,double-long-unsigned,0.01,kWh
33,Energy,T3 import active kWh,3,0100010803FF,2,double-long-unsigned,0.01,kWh
